,,0
3PM,YEAR,0.05716583113875728
YEAR,TOV,0.05745058784865983
TOV,YEAR,0.05745058784865983
DD2,3PM,0.05753117382138262
3PM,DD2,0.05753117382138262
L,FG%,0.06044176286730089
FG%,L,0.06044176286730089
DREB,AGE,0.060677478774432726
AGE,DREB,0.060677478774432726
FGA,AGE,0.060736135531295955
AGE,FGA,0.060736135531295955
TD3,AGE,0.061137339992234085
AGE,TD3,0.061137339992234085
+/-,OREB,0.06392323183252928
OREB,+/-,0.06392323183252928
3PA,DD2,0.0653919904327547
DD2,3PA,0.0653919904327547
SALARY,FG%,0.06559157980578574
FG%,SALARY,0.06559157980578574
3PA,L,0.07407560072274653
L,3PA,0.07407560072274653
YEAR,PF,0.07463754898417717
PF,YEAR,0.07463754898417717
TOV,AGE,0.07532409297930946
AGE,TOV,0.07532409297930946
DREB,FT%,0.07547509383670781
FT%,DREB,0.07547509383670781
AGE,PTS,0.07581167639183616
PTS,AGE,0.07581167639183616
REB,3PM,0.07772262653637278
3PM,REB,0.07772262653637278
MIN,FG%,0.07891216277459864
FG%,MIN,0.07891216277459864
BLK,AST,0.07892721205658451
AST,BLK,0.07892721205658451
3P%,TD3,0.0811016186488739
TD3,3P%,0.0811016186488739
L,AST,0.08320454553941015
AST,L,0.08320454553941015
3PA,YEAR,0.0862287683289212
YEAR,3PA,0.0862287683289212
OREB,W,0.08837939161485396
W,OREB,0.08837939161485396
REB,3PA,0.08884553122420091
3PA,REB,0.08884553122420091
FP,AGE,0.09987761388781546
AGE,FP,0.09987761388781546
PF,3P%,0.10089433097316645
3P%,PF,0.10089433097316645
YEAR,SALARY,0.10277266688919585
SALARY,YEAR,0.10277266688919585
L,W,0.10466921452615727
W,L,0.10466921452615727
OREB,TD3,0.10978357822389424
TD3,OREB,0.10978357822389424
FT%,+/-,0.11540936747522042
+/-,FT%,0.11540936747522042
MIN,AGE,0.11792525043297218
AGE,MIN,0.11792525043297218
PTS,FG%,0.11841052278810517
FG%,PTS,0.11841052278810517
FG%,FTM,0.11908913978303547
FTM,FG%,0.11908913978303547
3PM,TD3,0.122494478073016
TD3,3PM,0.122494478073016
GP,AGE,0.12348727580434365
AGE,GP,0.12348727580434365
AGE,STL,0.12524157848909293
STL,AGE,0.12524157848909293
TD3,GP,0.1252686906509605
GP,TD3,0.1252686906509605
PF,+/-,0.12783634421380927
+/-,PF,0.12783634421380927
SALARY,OREB,0.13275293223726103
OREB,SALARY,0.13275293223726103
STL,FT%,0.13881287870610848
FT%,STL,0.13881287870610848
FTA,3P%,0.13993802156103174
3P%,FTA,0.13993802156103174
TD3,3PA,0.14420004071804632
3PA,TD3,0.14420004071804632
W,3PA,0.14909638491430222
3PA,W,0.14909638491430222
FT%,W,0.14982193208085878
W,FT%,0.14982193208085878
SALARY,GP,0.151545281104018
GP,SALARY,0.151545281104018
+/-,3P%,0.1544017411999341
3P%,+/-,0.1544017411999341
GP,3PA,0.15469319969732592
3PA,GP,0.15469319969732592
+/-,GP,0.1549644058267318
GP,+/-,0.1549644058267318
OREB,FGA,0.15511012270631266
FGA,OREB,0.15511012270631266
FT%,L,0.15670820688335965
L,FT%,0.15670820688335965
STL,OREB,0.15676684971828855
OREB,STL,0.15676684971828855
TOV,W,0.1633928357187048
W,TOV,0.1633928357187048
AGE,AST,0.16349645585497044
AST,AGE,0.16349645585497044
BLK,TD3,0.16673889129383376
TD3,BLK,0.16673889129383376
BLK,FGA,0.16881950234744117
FGA,BLK,0.16881950234744117
3PM,GP,0.17101388648174148
GP,3PM,0.17101388648174148
3P%,GP,0.17214665519580497
GP,3P%,0.17214665519580497
TD3,W,0.1744380046243936
W,TD3,0.1744380046243936
FT%,PF,0.17507034927938944
PF,FT%,0.17507034927938944
FTM,W,0.17576343021357627
W,FTM,0.17576343021357627
PF,TD3,0.17895084596440586
TD3,PF,0.17895084596440586
3P%,AGE,0.17902069489932718
AGE,3P%,0.17902069489932718
AGE,3PA,0.17919855833291393
3PA,AGE,0.17919855833291393
OREB,GP,0.18072888056508263
GP,OREB,0.18072888056508263
SALARY,3P%,0.18097481591565875
3P%,SALARY,0.18097481591565875
3PM,AGE,0.18162509613364683
AGE,3PM,0.18162509613364683
W,PF,0.18162514520167167
PF,W,0.18162514520167167
FG%,FGM,0.18182486317551652
FGM,FG%,0.18182486317551652
GP,BLK,0.18194483043756643
BLK,GP,0.18194483043756643
3PM,PF,0.1838594518218819
PF,3PM,0.1838594518218819
3PM,W,0.1852524066778912
W,3PM,0.1852524066778912
TOV,L,0.1855810773948823
L,TOV,0.1855810773948823
L,FTM,0.1873860800190008
FTM,L,0.1873860800190008
W,REB,0.18792921895621634
