YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2016,James Michael McAdoo,Golden State Warriors,980431.0,24,52,43,9,8.8,2.8,1.2,2.3,53.0,0.0,0.2,25.0,0.4,0.8,50.0,0.7,1.1,1.8,0.3,0.4,0.3,0.6,0.9,7.8,0,0,-0.8,397.0
2016,Kevin Durant,Golden State Warriors,26540100.0,28,62,51,11,33.4,25.1,8.9,16.5,53.7,1.9,5.0,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48.0,23,1,11.5,5.0
2016,Kevon Looney,Golden State Warriors,1182840.0,21,53,44,9,8.4,2.5,1.1,2.0,52.3,0.0,0.2,22.2,0.4,0.6,61.8,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,7.7,0,0,-0.3,361.0
2016,Klay Thompson,Golden State Warriors,16663575.0,27,78,66,12,34.0,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3.0,3.7,2.1,1.6,0.8,0.5,1.8,32.2,0,0,10.3,46.0
2016,Matt Barnes,Sacramento Kings,242224.0,37,20,16,4,20.5,5.7,1.9,4.5,42.2,0.9,2.6,34.6,1.0,1.2,87.0,0.8,3.8,4.6,2.3,1.2,0.6,0.5,2.4,16.5,0,0,1.7,560.0
2016,Patrick McCaw,Golden State Warriors,543471.0,21,71,57,14,15.1,4.0,1.5,3.5,43.3,0.6,1.7,33.3,0.4,0.5,78.4,0.3,1.1,1.4,1.1,0.5,0.5,0.2,0.9,8.8,0,0,-0.6,491.0
2016,Shaun Livingston,Golden State Warriors,5782450.0,31,76,63,13,17.7,5.1,2.3,4.2,54.7,0.0,0.0,33.3,0.6,0.8,70.0,0.4,1.6,2.0,1.8,0.8,0.5,0.3,1.6,11.7,0,0,2.0,172.0
2016,Stephen Curry,Golden State Warriors,12112359.0,29,79,65,14,33.4,25.3,8.5,18.3,46.8,4.1,10.0,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3.0,1.8,0.2,2.3,43.6,9,0,12.8,82.0
2016,Zaza Pachulia,Golden State Warriors,2898000.0,33,70,58,12,18.1,6.1,2.3,4.4,53.4,0.0,0.0,0.0,1.4,1.8,77.8,2.0,3.9,5.9,1.9,1.2,0.8,0.5,2.4,18.6,4,0,6.0,264.0
2017,Zaza Pachulia,Golden State Warriors,3477600.0,34,69,47,22,14.1,5.4,2.2,3.8,56.4,0.0,0.0,0.0,1.1,1.3,80.6,1.3,3.4,4.7,1.6,1.0,0.6,0.2,1.8,14.7,2,0,2.8,235.0
