,,0
FTM,FG%,0.133859416
3PM,+/-,0.13411521
+/-,3PM,0.13411521
AGE,FGA,0.143369142
FGA,AGE,0.143369142
3P%,FTM,0.145191449
FTM,3P%,0.145191449
TD3,3P%,0.145756693
3P%,TD3,0.145756693
3PA,DD2,0.146251195
DD2,3PA,0.146251195
FT%,3P%,0.147242038
3P%,FT%,0.147242038
3P%,TOV,0.148806272
TOV,3P%,0.148806272
OREB,AST,0.151409159
AST,OREB,0.151409159
3PA,PF,0.151423072
PF,3PA,0.151423072
AGE,REB,0.151490117
REB,AGE,0.151490117
FGM,3P%,0.152733412
3P%,FGM,0.152733412
DD2,3P%,0.153039437
3P%,DD2,0.153039437
3PM,TD3,0.157433794
TD3,3PM,0.157433794
3PA,+/-,0.157877041
+/-,3PA,0.157877041
GP,AGE,0.158379471
AGE,GP,0.158379471
DD2,FT%,0.158783037
FT%,DD2,0.158783037
TD3,FGM,0.162603844
FGM,TD3,0.162603844
YEAR,3PM,0.164330222
3PM,YEAR,0.164330222
AST,FT%,0.1643383
FT%,AST,0.1643383
TOV,AGE,0.164682888
AGE,TOV,0.164682888
FT%,W,0.164776736
W,FT%,0.164776736
3P%,AST,0.168625217
AST,3P%,0.168625217
FG%,PF,0.169041747
PF,FG%,0.169041747
AGE,FTM,0.170900014
FTM,AGE,0.170900014
AGE,PTS,0.17121843
PTS,AGE,0.17121843
3P%,REB,0.17281179
REB,3P%,0.17281179
+/-,FT%,0.174625826
FT%,+/-,0.174625826
YEAR,3PA,0.175392525
3PA,YEAR,0.175392525
FP,3P%,0.176171189
3P%,FP,0.176171189
FG%,FTA,0.176526595
FTA,FG%,0.176526595
FGM,FG%,0.178593177
FG%,FGM,0.178593177
TD3,3PA,0.181255141
3PA,TD3,0.181255141
TD3,FGA,0.181505009
FGA,TD3,0.181505009
+/-,FGA,0.184078056
FGA,+/-,0.184078056
TD3,PTS,0.185878766
PTS,TD3,0.185878766
3PM,STL,0.193407218
STL,3PM,0.193407218
FT%,3PM,0.198035282
3PM,FT%,0.198035282
FTM,L,0.199117191
L,FTM,0.199117191
FG%,+/-,0.201227597
+/-,FG%,0.201227597
FTM,TD3,0.203021654
TD3,FTM,0.203021654
3PA,FT%,0.204180304
FT%,3PA,0.204180304
FTA,3PM,0.211701868
3PM,FTA,0.211701868
BLK,FT%,0.212873605
FT%,BLK,0.212873605
FGA,L,0.214045597
L,FGA,0.214045597
3P%,PTS,0.215757179
PTS,3P%,0.215757179
L,W,0.217694334
W,L,0.217694334
FG%,L,0.21820111
L,FG%,0.21820111
AGE,W,0.219799784
W,AGE,0.219799784
W,OREB,0.221116381
OREB,W,0.221116381
FTA,L,0.227058746
L,FTA,0.227058746
3P%,AGE,0.227756617
AGE,3P%,0.227756617
L,TOV,0.229570611
TOV,L,0.229570611
DREB,3P%,0.231293361
3P%,DREB,0.231293361
FTA,TD3,0.236019447
TD3,FTA,0.236019447
W,FGA,0.237444037
FGA,W,0.237444037
3PM,REB,0.237627925
REB,3PM,0.237627925
AGE,FP,0.237675782
FP,AGE,0.237675782
L,PTS,0.238397304
PTS,L,0.238397304
AGE,DREB,0.240777839
DREB,AGE,0.240777839
FP,L,0.244086979
L,FP,0.244086979
STL,AGE,0.244390927
AGE,STL,0.244390927
PF,FT%,0.249145843
FT%,PF,0.249145843
3PA,STL,0.249428428
STL,3PA,0.249428428
+/-,FGM,0.250875955
FGM,+/-,0.250875955
REB,+/-,0.255431439
+/-,REB,0.255431439
REB,FT%,0.25572089
FT%,REB,0.25572089
+/-,GP,0.258144062
GP,+/-,0.258144062
L,FT%,0.26368134
FT%,L,0.26368134
FG%,BLK,0.263729847
BLK,FG%,0.263729847
