,YEAR,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
YEAR,1,0.105456471,-0.126472649,-0.316100631,-0.238198757,-0.242489399,0.00966494,0.042971556,0.046514263,0.041581462,-0.03905178,0.066335386,0.093134732,0.036241545,0.007424503,-0.010006805,0.027691051,0.013969495,0.037477584,0.033887152,0.044273293,0.051539939,-0.02056506,0.040362156,0.076570176,0.043104313,-0.095102852,-0.045643953,0.018961962,-0.004507751
SALARY,0.105456471,1,0.277137205,0.165928313,0.198011607,0.03787995,0.605200845,0.673993215,0.655705982,0.650062358,0.071115823,0.501017172,0.533437122,0.191612778,0.621353187,0.599126651,0.183052632,0.136904619,0.548501014,0.464327197,0.570308642,0.617021164,0.490980442,0.234566985,0.310584755,0.692492775,0.423686369,0.315671953,0.301312891,-0.79920351
AGE,-0.126472649,0.277137205,1,0.133495977,0.219795816,-0.043631996,0.114039082,0.07152334,0.049528702,0.054804857,0.053693076,0.167166813,0.164416478,0.164530074,0.056261235,0.019250586,0.22118802,-0.073594756,0.070288998,0.032632423,0.155419519,0.075970443,0.125204204,-0.007355521,0.057300488,0.098631826,0.001898841,0.059357663,0.19051722,-0.27972801
GP,-0.316100631,0.165928313,0.133495977,1,0.810815191,0.696971605,0.431344947,0.348433544,0.370715761,0.323372796,0.280114112,0.182949402,0.163748869,0.189926486,0.268567214,0.293828906,0.177028665,0.21177243,0.30377802,0.29560709,0.246717022,0.275242323,0.308869522,0.200006825,0.335924911,0.378844687,0.314119193,0.131392259,0.146059056,-0.355982225
W,-0.238198757,0.198011607,0.219795816,0.810815191,1,0.145395666,0.293263822,0.281410646,0.295492635,0.227304881,0.315451464,0.196265512,0.158259128,0.216187142,0.19957093,0.213457445,0.129261843,0.116734252,0.234307715,0.213606863,0.251523824,0.200186839,0.24266868,0.226543893,0.216791738,0.321425279,0.253015288,0.178605954,0.520997911,-0.300140961
L,-0.242489399,0.03787995,-0.043631996,0.696971605,0.145395666,1,0.36982975,0.244201573,0.264613694,0.268128925,0.087010876,0.068791053,0.082899711,0.056177342,0.20946656,0.235154566,0.140874193,0.214952301,0.22642692,0.237977282,0.108880313,0.219995322,0.22478975,0.060527931,0.302227021,0.246582462,0.220987178,0.003276817,-0.391421636,-0.234013642
MIN,0.00966494,0.605200845,0.114039082,0.431344947,0.293263822,0.36982975,1,0.848255694,0.853862738,0.867981772,0.080293568,0.65201008,0.669006511,0.410118349,0.678102137,0.679818135,0.266970581,0.285188364,0.684385454,0.612720147,0.683968727,0.772250112,0.736803556,0.290223969,0.640623857,0.883431502,0.477769079,0.279037433,0.232571243,-0.642920192
PTS,0.042971556,0.673993215,0.07152334,0.348433544,0.281410646,0.244201573,0.848255694,1,0.989728246,0.979879634,0.130063922,0.716353978,0.721361905,0.351623231,0.887729771,0.860562469,0.322400057,0.227946502,0.624847207,0.550166579,0.663710878,0.843845546,0.626856752,0.257472156,0.497470455,0.928259841,0.489086846,0.27092298,0.309265805,-0.611486081
FGM,0.046514263,0.655705982,0.049528702,0.370715761,0.295492635,0.264613694,0.853862738,0.989728246,1,0.974467774,0.189687504,0.661783844,0.665500662,0.321146323,0.845049045,0.832010309,0.290082966,0.284794583,0.65421197,0.589542627,0.649931849,0.836348511,0.620810624,0.296922493,0.531080328,0.932939501,0.507957845,0.277067436,0.295982209,-0.608869373
FGA,0.041581462,0.650062358,0.054804857,0.323372796,0.227304881,0.268128925,0.867981772,0.979879634,0.974467774,1,0.007293785,0.744158838,0.766111062,0.382692889,0.827966851,0.795299863,0.303669837,0.171486238,0.585282619,0.503105165,0.6775124,0.847003207,0.645860177,0.187142272,0.489798288,0.902446367,0.432966787,0.262209343,0.222610566,-0.606308399
FG%,-0.03905178,0.071115823,0.053693076,0.280114112,0.315451464,0.087010876,0.080293568,0.130063922,0.189687504,0.007293785,1,-0.236978085,-0.300282545,-0.183436517,0.136343556,0.208593383,0.020452034,0.537859835,0.342195188,0.421419549,-0.042783544,0.078050568,-0.015365992,0.485218274,0.319207453,0.216722653,0.268112821,0.025987649,0.237710953,-0.109523271
3PM,0.066335386,0.501017172,0.167166813,0.182949402,0.196265512,0.068791053,0.65201008,0.716353978,0.661783844,0.744158838,-0.236978085,1,0.980269616,0.561788857,0.472009049,0.383692668,0.334906434,-0.22800552,0.21275321,0.097293788,0.50867319,0.551157777,0.513550865,-0.140177462,0.207369235,0.57389468,0.066526179,0.122888891,0.288084031,-0.44612376
3PA,0.093134732,0.533437122,0.164416478,0.163748869,0.158259128,0.082899711,0.669006511,0.721361905,0.665500662,0.766111062,-0.300282545,0.980269616,1,0.539639683,0.494739465,0.406717312,0.328592781,-0.239186637,0.226521862,0.104856343,0.540576287,0.584378093,0.5314922,-0.139730962,0.217261021,0.586755355,0.072536683,0.144458085,0.235008448,-0.464462058
3P%,0.036241545,0.191612778,0.164530074,0.189926486,0.216187142,0.056177342,0.410118349,0.351623231,0.321146323,0.382692889,-0.183436517,0.561788857,0.539639683,1,0.199324582,0.148501002,0.234605464,-0.248786273,0.078456418,-0.012432508,0.309556185,0.27452298,0.303865465,-0.139869322,0.14103656,0.279985581,0.0019339,0.081627486,0.145016678,-0.252663292
