,,0
BLK,TD3,0.03745648974199632
TD3,BLK,0.03745648974199632
YEAR,FGA,0.03830266151629238
FGA,YEAR,0.03830266151629238
BLK,AGE,0.04036525044348584
AGE,BLK,0.04036525044348584
SALARY,OREB,0.041041736335808016
OREB,SALARY,0.041041736335808016
REB,YEAR,0.04109663955762827
YEAR,REB,0.04109663955762827
3P%,REB,0.043233258229966286
REB,3P%,0.043233258229966286
YEAR,AGE,0.04464334032611455
AGE,YEAR,0.04464334032611455
YEAR,STL,0.04719508283535785
STL,YEAR,0.04719508283535785
YEAR,FG%,0.053389694757508245
FG%,YEAR,0.053389694757508245
SALARY,FG%,0.05344802354452726
FG%,SALARY,0.05344802354452726
FG%,L,0.055696533516797195
L,FG%,0.055696533516797195
DD2,3P%,0.06612263420582842
3P%,DD2,0.06612263420582842
+/-,3PA,0.06759278925136127
3PA,+/-,0.06759278925136127
FT%,TOV,0.06788870385241573
TOV,FT%,0.06788870385241573
+/-,SALARY,0.06976490335470707
SALARY,+/-,0.06976490335470707
+/-,REB,0.07112654343713976
REB,+/-,0.07112654343713976
TD3,GP,0.07389308011478452
GP,TD3,0.07389308011478452
DREB,YEAR,0.07508184158873023
YEAR,DREB,0.07508184158873023
3PM,DD2,0.07698950521844233
DD2,3PM,0.07698950521844233
TD3,FG%,0.07772768100832574
FG%,TD3,0.07772768100832574
YEAR,TOV,0.07970716144683124
TOV,YEAR,0.07970716144683124
PTS,YEAR,0.08055556798182134
YEAR,PTS,0.08055556798182134
DREB,+/-,0.08146176631439644
+/-,DREB,0.08146176631439644
FGA,FG%,0.08401321518036362
FG%,FGA,0.08401321518036362
AGE,AST,0.08402130886736278
AST,AGE,0.08402130886736278
DD2,YEAR,0.0845909112766033
YEAR,DD2,0.0845909112766033
SALARY,L,0.08514552018233973
L,SALARY,0.08514552018233973
PTS,+/-,0.08547487083102524
+/-,PTS,0.08547487083102524
3P%,TD3,0.0868598725241717
TD3,3P%,0.0868598725241717
3PA,YEAR,0.08763755621508544
YEAR,3PA,0.08763755621508544
FGM,+/-,0.08847054618854965
+/-,FGM,0.08847054618854965
FT%,W,0.09196745954638007
W,FT%,0.09196745954638007
SALARY,PF,0.09246493730080893
PF,SALARY,0.09246493730080893
FP,FT%,0.09492685801980089
FT%,FP,0.09492685801980089
3PM,L,0.09583737420035544
L,3PM,0.09583737420035544
3PA,DD2,0.096186814219715
DD2,3PA,0.096186814219715
DREB,3PM,0.10166915434546697
3PM,DREB,0.10166915434546697
+/-,STL,0.10325594563748904
STL,+/-,0.10325594563748904
TD3,PF,0.10393435235931239
PF,TD3,0.10393435235931239
YEAR,SALARY,0.10399034931806453
SALARY,YEAR,0.10399034931806453
3PM,YEAR,0.10498577666907648
YEAR,3PM,0.10498577666907648
OREB,TD3,0.1064483679185701
TD3,OREB,0.1064483679185701
FT%,+/-,0.10835815776627214
+/-,FT%,0.10835815776627214
AGE,+/-,0.11031557640805711
+/-,AGE,0.11031557640805711
GP,BLK,0.11354192248974931
BLK,GP,0.11354192248974931
YEAR,FGM,0.11456206062738912
FGM,YEAR,0.11456206062738912
OREB,STL,0.11531300432152178
STL,OREB,0.11531300432152178
STL,L,0.11590036510142987
L,STL,0.11590036510142987
SALARY,3P%,0.1164340659259546
3P%,SALARY,0.1164340659259546
YEAR,FP,0.12759870278033156
FP,YEAR,0.12759870278033156
DREB,3PA,0.12764643932557487
3PA,DREB,0.12764643932557487
FGA,OREB,0.128590119595773
OREB,FGA,0.128590119595773
L,3PA,0.13135578603848636
3PA,L,0.13135578603848636
3PM,+/-,0.13453034592537735
+/-,3PM,0.13453034592537735
BLK,STL,0.13466466286547527
STL,BLK,0.13466466286547527
DREB,3P%,0.13476766011670932
3P%,DREB,0.13476766011670932
AST,GP,0.13723541750445187
GP,AST,0.13723541750445187
AST,+/-,0.14149474459664296
+/-,AST,0.14149474459664296
FG%,AGE,0.14225413931450928
AGE,FG%,0.14225413931450928
3PA,AGE,0.14338515245267508
AGE,3PA,0.14338515245267508
GP,3P%,0.144383931372448
3P%,GP,0.144383931372448
PF,FT%,0.14491458953961558
FT%,PF,0.14491458953961558
L,FT%,0.15058722803868296
FT%,L,0.15058722803868296
BLK,TOV,0.1529739034271189
TOV,BLK,0.1529739034271189
YEAR,TD3,0.15640823167502557
TD3,YEAR,0.15640823167502557
FP,+/-,0.15678271844802807
+/-,FP,0.15678271844802807
BLK,YEAR,0.15773993030716954
YEAR,BLK,0.15773993030716954
FTA,FT%,0.15815177100058406
FT%,FTA,0.15815177100058406
GP,FT%,0.16116405397618994
FT%,GP,0.16116405397618994
W,+/-,0.16219726812507346
+/-,W,0.16219726812507346
FTM,FG%,0.16569234301266275
FG%,FTM,0.16569234301266275
RK,+/-,0.1659090679931655
+/-,RK,0.1659090679931655
AGE,3PM,0.1670256621383194
3PM,AGE,0.1670256621383194
FG%,FT%,0.1672670302075004
FT%,FG%,0.1672670302075004
TOV,FG%,0.17003843820308942
FG%,TOV,0.17003843820308942
FG%,MIN,0.17104042112531528
MIN,FG%,0.17104042112531528
PF,AST,0.1710739282070622
AST,PF,0.1710739282070622
YEAR,AST,0.17156435997716984
AST,YEAR,0.17156435997716984
TD3,AGE,0.17536549558022485
AGE,TD3,0.17536549558022485
FT%,MIN,0.1756288556619147
MIN,FT%,0.1756288556619147
FT%,FGM,0.1760870050118176
FGM,FT%,0.1760870050118176
STL,PF,0.17740197776289768
PF,STL,0.17740197776289768
3P%,FTA,0.18058392537668636
FTA,3P%,0.18058392537668636
FG%,+/-,0.18267802280459372
+/-,FG%,0.18267802280459372
PF,3P%,0.18431929849867248
3P%,PF,0.18431929849867248
FGA,BLK,0.18537681162721506
BLK,FGA,0.18537681162721506
SALARY,BLK,0.18725267218530195
BLK,SALARY,0.18725267218530195
3P%,FTM,0.18787873060905333
FTM,3P%,0.18787873060905333
GP,FG%,0.1910539466288443
FG%,GP,0.1910539466288443
PTS,OREB,0.19243464934815854
OREB,PTS,0.19243464934815854
PTS,FG%,0.1995378000558011
FG%,PTS,0.1995378000558011
STL,GP,0.20419538524158407
GP,STL,0.20419538524158407
DD2,FG%,0.2042858058641209
FG%,DD2,0.2042858058641209
FT%,FGA,0.20613947244360717
FGA,FT%,0.20613947244360717
TOV,OREB,0.20666982263213973
OREB,TOV,0.20666982263213973
FG%,FTA,0.21116999638765843
FTA,FG%,0.21116999638765843
FTM,OREB,0.21297864616173454
OREB,FTM,0.21297864616173454
GP,SALARY,0.21303363617280208
SALARY,GP,0.21303363617280208
L,DD2,0.2133348953938628
DD2,L,0.2133348953938628
GP,3PM,0.21844340033784407
3PM,GP,0.21844340033784407
L,TOV,0.21964694812939559
TOV,L,0.21964694812939559
TD3,W,0.21967730094014093
W,TD3,0.21967730094014093
AGE,FT%,0.220690747331577
FT%,AGE,0.220690747331577
+/-,TD3,0.2248504512802999
TD3,+/-,0.2248504512802999
PTS,FT%,0.22503545047040852
FT%,PTS,0.22503545047040852
L,FP,0.2251946276830832
FP,L,0.2251946276830832
3P%,AGE,0.2256362691806606
AGE,3P%,0.2256362691806606
L,W,0.22679752992697494
W,L,0.22679752992697494
TD3,3PM,0.23205880531994508
3PM,TD3,0.23205880531994508
OREB,L,0.23552325190830298
L,OREB,0.23552325190830298
STL,W,0.24363444671623552
W,STL,0.24363444671623552
GP,3PA,0.2449554323137141
3PA,GP,0.2449554323137141
MIN,OREB,0.24633971548255698
OREB,MIN,0.24633971548255698
FT%,FTM,0.24716444689726072
FTM,FT%,0.24716444689726072
TD3,3PA,0.2543857249168997
3PA,TD3,0.2543857249168997
3P%,+/-,0.25535464831706317
+/-,3P%,0.25535464831706317
3PA,FT%,0.25820521614102215
FT%,3PA,0.25820521614102215
+/-,BLK,0.26010059696553267
BLK,+/-,0.26010059696553267
3P%,TOV,0.2616164555556683
TOV,3P%,0.2616164555556683
FG%,FGM,0.2637508938361271
FGM,FG%,0.2637508938361271
L,DREB,0.26398576223438813
DREB,L,0.26398576223438813
FGM,OREB,0.26553106962474876
OREB,FGM,0.26553106962474876
BLK,MIN,0.2665620900500688
MIN,BLK,0.2665620900500688
FTA,OREB,0.26951396581470694
OREB,FTA,0.26951396581470694
FGM,L,0.27083614627471186
L,FGM,0.27083614627471186
FG%,FP,0.2715508312435419
FP,FG%,0.2715508312435419
L,REB,0.2730266014629791
REB,L,0.2730266014629791
W,BLK,0.2732512304998623
BLK,W,0.2732512304998623
W,AST,0.27335732059816337
AST,W,0.27335732059816337
3P%,YEAR,0.27470715500919235
YEAR,3P%,0.27470715500919235
PTS,L,0.2767225022308365
L,PTS,0.2767225022308365
OREB,W,0.2802294274444387
W,OREB,0.2802294274444387
FTM,L,0.28177128744785135
L,FTM,0.28177128744785135
BLK,DD2,0.2833050167524636
DD2,BLK,0.2833050167524636
AST,3P%,0.2854849799268433
3P%,AST,0.2854849799268433
SALARY,REB,0.2868690986000377
REB,SALARY,0.2868690986000377
BLK,PTS,0.2869887939764019
PTS,BLK,0.2869887939764019
L,FTA,0.2910233700270496
FTA,L,0.2910233700270496
STL,DD2,0.29140656626184763
DD2,STL,0.29140656626184763
TD3,STL,0.2975313702031651
STL,TD3,0.2975313702031651
3PM,FT%,0.3032478602170008
FT%,3PM,0.3032478602170008
3PA,W,0.30530129542039813
W,3PA,0.30530129542039813
FTM,STL,0.30741977489557926
STL,FTM,0.30741977489557926
3PM,W,0.30841111099727575
W,3PM,0.30841111099727575
FTA,STL,0.31073845880809947
STL,FTA,0.31073845880809947
3P%,FP,0.3133474819879025
FP,3P%,0.3133474819879025
W,SALARY,0.31489145397202717
SALARY,W,0.31489145397202717
GP,OREB,0.31531220482959754
OREB,GP,0.31531220482959754
FGM,BLK,0.3165749765378579
BLK,FGM,0.3165749765378579
3P%,FT%,0.3168836500856519
FT%,3P%,0.3168836500856519
FG%,W,0.3174740386519978
W,FG%,0.3174740386519978
BLK,FTM,0.31833929287584145
FTM,BLK,0.31833929287584145
FGA,L,0.31973420116357937
L,FGA,0.31973420116357937
3P%,FGM,0.3198575400452269
FGM,3P%,0.3198575400452269
W,FTM,0.32910947291467185
FTM,W,0.32910947291467185
3P%,STL,0.33256980047437507
STL,3P%,0.33256980047437507
BLK,FTA,0.33348061581200206
FTA,BLK,0.33348061581200206
3PM,FTA,0.3357518047225933
FTA,3PM,0.3357518047225933
REB,STL,0.33684404154010655
STL,REB,0.33684404154010655
MIN,TD3,0.34328094032377854
TD3,MIN,0.34328094032377854
DD2,GP,0.34922372118762973
GP,DD2,0.34922372118762973
PTS,3P%,0.35099012472341296
3P%,PTS,0.35099012472341296
PF,FTM,0.3563054666756633
FTM,PF,0.3563054666756633
3P%,FGA,0.3616289388346242
FGA,3P%,0.3616289388346242
DREB,SALARY,0.3624122700036608
SALARY,DREB,0.3624122700036608
GP,TOV,0.36276302185174103
TOV,GP,0.36276302185174103
MIN,L,0.3641945029563347
L,MIN,0.3641945029563347
TD3,FTM,0.3643051617621795
FTM,TD3,0.3643051617621795
FTA,3PA,0.3669968398258868
3PA,FTA,0.3669968398258868
SALARY,AGE,0.3675789725684523
AGE,SALARY,0.3675789725684523
FTM,GP,0.37437752059103685
GP,FTM,0.37437752059103685
FTM,3PM,0.3756030144655469
3PM,FTM,0.3756030144655469
AST,REB,0.3767491385130701
REB,AST,0.3767491385130701
FTA,W,0.37780638671817623
W,FTA,0.37780638671817623
DREB,FG%,0.379534643193909
FG%,DREB,0.379534643193909
SALARY,STL,0.3865357195684663
STL,SALARY,0.3865357195684663
L,PF,0.3866464975746584
PF,L,0.3866464975746584
SALARY,3PM,0.3903759108216488
3PM,SALARY,0.3903759108216488
DD2,W,0.3910171299786708
W,DD2,0.3910171299786708
DREB,STL,0.3973900607160897
STL,DREB,0.3973900607160897
3PA,FTM,0.40242347058794536
FTM,3PA,0.40242347058794536
GP,FTA,0.4042409277418365
FTA,GP,0.4042409277418365
PF,FGA,0.4055936846594568
FGA,PF,0.4055936846594568
TOV,W,0.40950138378629036
W,TOV,0.40950138378629036
FTA,PF,0.41483530713589073
PF,FTA,0.41483530713589073
FP,OREB,0.415673362780765
OREB,FP,0.415673362780765
FP,GP,0.4165590385694206
GP,FP,0.4165590385694206
REB,TD3,0.4175467706990764
TD3,REB,0.4175467706990764
GP,REB,0.4182627119694263
REB,GP,0.4182627119694263
DD2,SALARY,0.41908226118095443
SALARY,DD2,0.41908226118095443
PF,TOV,0.42180580355854513
TOV,PF,0.42180580355854513
GP,DREB,0.42277238209699924
DREB,GP,0.42277238209699924
3PA,SALARY,0.43186759429238
SALARY,3PA,0.43186759429238
MIN,3P%,0.4335028328554562
3P%,MIN,0.4335028328554562
PF,DD2,0.4343229855443445
DD2,PF,0.4343229855443445
W,3P%,0.434929397637203
3P%,W,0.434929397637203
W,REB,0.438588369009151
REB,W,0.438588369009151
YEAR,W,0.44038775027270183
W,YEAR,0.44038775027270183
PTS,PF,0.44091539689687953
PF,PTS,0.44091539689687953
TD3,FTA,0.44667475941134865
FTA,TD3,0.44667475941134865
FTM,REB,0.4472864855196345
REB,FTM,0.4472864855196345
DD2,OREB,0.44807142018427004
OREB,DD2,0.44807142018427004
FTM,AST,0.4512057327504522
AST,FTM,0.4512057327504522
GP,PTS,0.45365528076645045
PTS,GP,0.45365528076645045
TOV,3PM,0.4555340354613059
3PM,TOV,0.4555340354613059
MIN,SALARY,0.4593972373875627
SALARY,MIN,0.4593972373875627
FP,BLK,0.4618154576153877
BLK,FP,0.4618154576153877
DREB,W,0.46365759390060773
W,DREB,0.46365759390060773
GP,FGM,0.46457778217870876
FGM,GP,0.46457778217870876
FG%,REB,0.46576518439506265
REB,FG%,0.46576518439506265
BLK,FG%,0.46831171192313553
FG%,BLK,0.46831171192313553
DD2,MIN,0.4719054005384658
MIN,DD2,0.4719054005384658
DD2,FTM,0.47194361234704646
FTM,DD2,0.47194361234704646
FGA,TD3,0.4732415539451092
TD3,FGA,0.4732415539451092
FGA,GP,0.4737932719744326
GP,FGA,0.4737932719744326
FGA,W,0.47906582531350245
W,FGA,0.47906582531350245
FGM,STL,0.48125867874577005
STL,FGM,0.48125867874577005
3PA,STL,0.4851286171704367
STL,3PA,0.4851286171704367
STL,PTS,0.48517721765852645
PTS,STL,0.48517721765852645
TOV,3PA,0.4866807268344529
3PA,TOV,0.4866807268344529
3PM,FP,0.48677258232256726
FP,3PM,0.48677258232256726
STL,3PM,0.48869940119417765
3PM,STL,0.48869940119417765
MIN,W,0.4889199988966306
W,MIN,0.4889199988966306
FGA,REB,0.4910791327716425
REB,FGA,0.4910791327716425
AST,FTA,0.4926292079943441
FTA,AST,0.4926292079943441
FGM,PF,0.49267001516670844
PF,FGM,0.49267001516670844
TD3,PTS,0.4933363721188209
PTS,TD3,0.4933363721188209
DREB,AST,0.49360449205665363
AST,DREB,0.49360449205665363
AST,3PM,0.495510865537201
3PM,AST,0.495510865537201
W,PF,0.5014221100826307
PF,W,0.5014221100826307
FP,3PA,0.5029926955853973
3PA,FP,0.5029926955853973
SALARY,TOV,0.5033191718604455
TOV,SALARY,0.5033191718604455
DREB,FTM,0.506217582700607
FTM,DREB,0.506217582700607
PTS,W,0.508638806769118
W,PTS,0.508638806769118
TD3,DREB,0.5095784738177388
DREB,TD3,0.5095784738177388
SALARY,FTM,0.510178145182111
FTM,SALARY,0.510178145182111
TOV,STL,0.5115244694185075
STL,TOV,0.5115244694185075
GP,MIN,0.5133545135637625
MIN,GP,0.5133545135637625
FP,W,0.5160955228957755
W,FP,0.5160955228957755
DREB,BLK,0.5170913407319723
BLK,DREB,0.5170913407319723
AST,3PA,0.5192353233836374
3PA,AST,0.5192353233836374
SALARY,FTA,0.5200044015914261
FTA,SALARY,0.5200044015914261
FGA,STL,0.52129781308005
STL,FGA,0.52129781308005
FGM,TD3,0.5230152776854698
TD3,FGM,0.5230152776854698
DD2,FGA,0.5230531837012456
FGA,DD2,0.5230531837012456
FTA,REB,0.5251311032702607
REB,FTA,0.5251311032702607
PTS,REB,0.5277270009257341
REB,PTS,0.5277270009257341
REB,TOV,0.5300965234542229
TOV,REB,0.5300965234542229
AST,SALARY,0.5329893794326185
SALARY,AST,0.5329893794326185
GP,PF,0.5368224214984918
PF,GP,0.5368224214984918
3PA,3P%,0.5375392354382356
3P%,3PA,0.5375392354382356
PF,BLK,0.5404769035873123
BLK,PF,0.5404769035873123
FGM,W,0.5421833063587433
W,FGM,0.5421833063587433
DD2,AST,0.544039777372399
AST,DD2,0.544039777372399
DD2,FTA,0.5492128799747032
FTA,DD2,0.5492128799747032
FG%,PF,0.5503295724371347
PF,FG%,0.5503295724371347
PF,FP,0.5539721336991164
FP,PF,0.5539721336991164
3PM,FGM,0.5551773957177357
FGM,3PM,0.5551773957177357
PTS,DD2,0.5555975570233725
DD2,PTS,0.5555975570233725
TD3,TOV,0.5562834157109132
TOV,TD3,0.5562834157109132
FG%,OREB,0.571072980150607
OREB,FG%,0.571072980150607
MIN,PF,0.5758741023421148
PF,MIN,0.5758741023421148
FGM,3PA,0.5771539243063268
3PA,FGM,0.5771539243063268
MIN,REB,0.5831815340235921
REB,MIN,0.5831815340235921
FTA,DREB,0.5862074656144922
DREB,FTA,0.5862074656144922
3PM,3P%,0.5871211186229708
3P%,3PM,0.5871211186229708
FP,TD3,0.5878654568243739
TD3,FP,0.5878654568243739
REB,BLK,0.5889478531096056
BLK,REB,0.5889478531096056
REB,FGM,0.5914607407985812
FGM,REB,0.5914607407985812
DD2,TOV,0.5952176133664289
TOV,DD2,0.5952176133664289
FGA,DREB,0.5974836236703035
DREB,FGA,0.5974836236703035
SALARY,FGM,0.5998565521079711
FGM,SALARY,0.5998565521079711
YEAR,+/-,0.6006179652837983
+/-,YEAR,0.6006179652837983
FGM,DD2,0.601415884585044
DD2,FGM,0.601415884585044
SALARY,TD3,0.6016158251450325
TD3,SALARY,0.6016158251450325
SALARY,FP,0.6021833844382315
FP,SALARY,0.6021833844382315
FGA,SALARY,0.602484686592937
SALARY,FGA,0.602484686592937
SALARY,PTS,0.60610355902372
PTS,SALARY,0.60610355902372
STL,AST,0.6069934690447951
AST,STL,0.6069934690447951
TOV,DREB,0.6165479144906038
DREB,TOV,0.6165479144906038
PTS,DREB,0.6197302255731494
DREB,PTS,0.6197302255731494
PTS,3PM,0.6225624361314719
3PM,PTS,0.6225624361314719
FTM,MIN,0.6240400374961415
MIN,FTM,0.6240400374961415
FP,STL,0.6308917868157149
STL,FP,0.6308917868157149
AST,MIN,0.6318874190929554
MIN,AST,0.6318874190929554
BLK,OREB,0.6353839452867992
OREB,BLK,0.6353839452867992
MIN,3PM,0.6398738387671038
3PM,MIN,0.6398738387671038
GP,W,0.6422166803497907
W,GP,0.6422166803497907
3PA,PTS,0.6422237864753568
PTS,3PA,0.6422237864753568
MIN,3PA,0.6425101684172494
3PA,MIN,0.6425101684172494
AST,PTS,0.6433449487810982
PTS,AST,0.6433449487810982
MIN,FTA,0.6442155885720351
FTA,MIN,0.6442155885720351
FGM,AST,0.6530642994839623
AST,FGM,0.6530642994839623
MIN,STL,0.6690850999837086
STL,MIN,0.6690850999837086
DREB,MIN,0.670011332636974
MIN,DREB,0.670011332636974
DREB,FGM,0.6736403655747161
FGM,DREB,0.6736403655747161
FTM,TOV,0.6776137552660961
TOV,FTM,0.6776137552660961
3PM,FGA,0.6792575166442817
FGA,3PM,0.6792575166442817
AST,FGA,0.6888142907092536
FGA,AST,0.6888142907092536
OREB,PF,0.6921423198602348
PF,OREB,0.6921423198602348
FP,DD2,0.6941082883839557
DD2,FP,0.6941082883839557
OREB,DREB,0.6948735084776748
DREB,OREB,0.6948735084776748
DD2,TD3,0.6955217440027756
