YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2016,Brandon Bass,LAC,32,52,29,23,11.1,5.6,2.1,3.6,57.5,0,0.1,33.3,1.5,1.7,87.5,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.9,10.1,0,0,-2.8
2016,Blake Griffin,LAC,28,61,40,21,34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,40.3,19,1,7.2
2016,Austin Rivers,LAC,24,74,43,31,27.8,12,4.4,9.9,44.2,1.5,4,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,19.6,0,0,-0.1
2016,Alan Anderson,LAC,34,30,20,10,10.3,2.9,1,2.7,37.5,0.5,1.5,31.8,0.4,0.5,75,0.1,0.7,0.8,0.4,0.2,0.1,0,1.2,4.4,0,0,-2.6
2017,Austin Rivers,LAC,25,61,30,31,33.7,15.1,5.6,13.2,42.4,2.2,5.9,37.8,1.7,2.6,64.2,0.4,1.9,2.4,4,1.8,1.2,0.3,2.5,26.5,0,0,-1
2017,Avery Bradley,LAC,27,6,5,1,27.5,9.2,4.3,9.2,47.3,0.2,1.5,11.1,0.3,0.3,100,0.5,3.2,3.7,1.8,1.3,0.8,0.2,2,18,0,0,0.5
2017,Blake Griffin,DET,29,33,17,16,34.5,22.6,7.7,17.5,44.1,1.9,5.7,34.2,5.2,6.6,78.5,1.4,6.5,7.9,5.4,3,0.9,0.3,2.4,40.7,11,2,0.7
2017,Boban Marjanovic,LAC,29,20,10,10,8.3,5.9,1.9,3.5,55.1,0,0,0,2.1,2.6,78.8,1.7,2.7,4.4,0.4,0.7,0.3,0.3,1.2,12.6,1,0,2.8
2017,Brice Johnson,LAC,24,9,2,7,4.2,1.8,0.8,1.2,63.6,0,0.1,0,0.2,0.2,100,0.2,1.2,1.4,0.1,0.4,0.7,0.2,0.8,5.9,0,0,3.7
2017,C.J. Williams,LAC,28,38,17,21,18.6,5.5,2.3,5.2,44.2,0.6,2.1,28.2,0.3,0.4,81.3,0.3,1.2,1.5,1.1,0.5,0.8,0.3,1.7,11.9,0,0,-0.9
2017,Danilo Gallinari,LAC,29,21,11,10,32,15.3,4.9,12.2,39.8,1.7,5.3,32.4,3.9,4.1,93.1,0.4,4.4,4.8,2,1.2,0.6,0.5,1.4,26,0,0,0.5
2017,DeAndre Jordan,LAC,29,77,39,38,31.5,12,4.8,7.5,64.5,0,0,0,2.4,4.1,58,4.3,10.9,15.2,1.5,1.8,0.5,0.9,2.6,35,46,0,-1.7
2017,Jamil Wilson,LAC,27,15,6,9,18.3,7,2.5,5.4,46.9,1.8,4.2,42.9,0.1,0.3,50,0.2,1.9,2.1,0.7,0.5,0.3,0.5,2.3,12.6,0,0,-0.1
2017,Jawun Evans,LAC,21,48,24,24,16.2,4.8,1.9,5.3,35.2,0.3,1.1,27.8,0.8,1,77.6,0.2,1.6,1.8,2.1,0.9,0.8,0.1,2,11.7,0,0,0.2
2017,Lou Williams,LAC,31,79,42,37,32.8,22.6,7.4,16.9,43.5,2.4,6.6,35.9,5.5,6.2,88,0.5,2,2.5,5.3,3,1.1,0.2,1.3,34.5,7,0,1.5
2017,Milos Teodosic,LAC,31,45,29,16,25.2,9.5,3.4,8,41.9,2,5.2,37.9,0.9,1,84.8,0.4,2.4,2.8,4.6,2.2,0.5,0.1,2.3,19.6,0,0,1.9
2017,Montrezl Harrell,LAC,24,76,39,37,17,11,4.6,7.2,63.5,0,0.1,14.3,1.8,2.9,62.6,1.4,2.7,4,1,0.9,0.5,0.7,1.9,19.9,0,0,0.7
2017,Patrick Beverley,LAC,29,11,5,6,30.3,12.2,4.4,10.8,40.3,2.2,5.5,40,1.3,1.5,82.4,1.5,2.6,4.1,2.9,2.3,1.7,0.5,3.1,25.7,0,0,2.3
2017,Sam Dekker,LAC,24,73,36,37,12.1,4.2,1.8,3.5,49.4,0.1,0.8,16.7,0.5,0.8,66.1,0.6,1.8,2.4,0.5,0.5,0.3,0.1,1,8.7,0,0,0.8
2017,Sean Kilpatrick,CHI,28,4,1,3,9.6,4.8,1.8,4.5,38.9,0.8,1.8,42.9,0.5,0.5,100,0,0.5,0.5,0.8,0.3,0,0,0.5,6.2,0,0,0.3
2017,Sindarius Thornwell,LAC,23,73,36,37,15.8,3.9,1.4,3.2,42.9,0.3,0.8,37.7,0.8,1.2,67,0.5,1.5,1.9,0.9,0.7,0.7,0.3,1.7,9.8,0,0,-1.4
2017,Tobias Harris,LAC,25,32,17,15,34.5,19.3,7.6,16,47.3,2.2,5.3,41.4,2,2.5,80,0.7,5.3,6,3.1,1.7,1.2,0.6,2.3,34.8,2,0,-2.1
2017,Tyrone Wallace,LAC,24,30,17,13,28.4,9.7,3.7,8.2,44.5,0.3,1.3,25,2,2.6,78.2,0.7,2.8,3.5,2.4,1.5,0.9,0.4,2.8,19.9,0,0,-0.8
2017,Wesley Johnson,LAC,30,74,38,36,20.1,5.4,2,5,40.8,0.8,2.4,33.9,0.6,0.8,74.1,0.4,2.5,2.9,0.8,0.7,1,0.8,2,15,1,0,-0.8
2017,Willie Reed,LAC,28,39,17,22,10.7,4.9,2.1,3.1,66.7,0,0.1,50,0.8,1.4,58.2,0.9,2.2,3.1,0.2,0.5,0.2,0.6,1.4,10.9,1,0,0.4
2018,Angel Delgado,LAC,24,2,0,2,7.4,1.5,0.5,2.5,20,0,0,0,0.5,1,50,1,1,2,0,0,0.5,0,1,5.4,0,0,1.5
2018,Avery Bradley,MEM,28,49,25,24,29.9,8.2,3.3,8.6,38.3,1.2,3.5,33.7,0.4,0.5,80,0.7,2,2.7,2,1.2,0.6,0.3,2.7,15.7,0,0,-1.3
2018,Boban Marjanovic,PHI,30,36,17,19,10.4,6.7,2.4,3.9,60.7,0,0.1,0,2,2.6,75.8,1.5,2.7,4.2,0.6,1,0.3,0.5,1.6,14,4,0,-0.2
2018,Danilo Gallinari,LAC,30,68,40,28,30.3,19.8,6,13,46.3,2.4,5.5,43.3,5.4,6,90.4,0.8,5.3,6.1,2.6,1.5,0.7,0.3,1.9,32.8,7,0,1.5
2018,Garrett Temple,LAC,33,26,18,8,19.6,4.7,1.6,4.1,39.6,0.6,2.1,29.6,0.9,1.2,74.2,0.4,2.1,2.5,1.4,0.6,1,0.2,2.7,12.8,0,0,0.6
2018,Ivica Zubac,LAC,22,26,18,8,20.1,9.4,3.8,7.2,53.8,0,0,0,1.7,2.3,73.3,2.3,5.3,7.7,1.5,1.4,0.4,0.9,2.5,23.3,4,0,0.7
2018,JaMychal Green,LAC,29,24,18,6,19.6,8.7,3.3,6.8,48.2,1.4,3.3,41.3,0.7,0.9,81,1.3,5.2,6.5,0.6,1,0.5,0.3,2.9,18.9,1,0,-0.5
2018,Jerome Robinson,LAC,22,33,18,15,9.7,3.4,1.3,3.3,40,0.5,1.7,31.6,0.2,0.3,66.7,0.1,1.2,1.2,0.6,0.4,0.3,0.1,1.4,6.6,0,0,-0.7
2018,Johnathan Motley,LAC,24,22,12,10,7.1,4.6,1.8,3.3,53.4,0,0.1,0,1.1,1.8,60,0.8,1.5,2.3,0.5,0.7,0.2,0.1,1.2,8.5,0,0,-1.5
2018,Landry Shamet,LAC,22,25,17,8,27.8,10.9,3.5,8.4,41.4,2.7,6,45,1.2,1.6,79.5,0.3,2,2.2,2.3,0.8,0.5,0.1,2,18.1,0,0,3.7
2018,Lou Williams,LAC,32,75,47,28,26.6,20,6.5,15.2,42.5,1.4,3.9,36.1,5.7,6.5,87.6,0.5,2.4,3,5.4,2.4,0.8,0.1,1.1,31.9,7,1,2.6
2018,Luc Mbah a Moute,LAC,32,4,2,2,15.3,5,2,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2,8.9,0,0,2.8
2018,Marcin Gortat,LAC,35,47,25,22,16,5,2.1,4,53.2,0,0,0,0.7,1,72.9,1.4,4.1,5.6,1.4,1.1,0.1,0.5,2,14.5,1,0,-2.1
2018,Mike Scott,PHI,30,52,27,25,14.4,4.8,1.8,4.4,40,1,2.6,39.1,0.2,0.3,66.7,0.5,2.9,3.3,0.8,0.5,0.3,0.2,1.7,11,0,0,0.6
2018,Milos Teodosic,LAC,32,15,8,7,10,3.2,1.1,2.7,42.5,0.7,1.8,37,0.3,0.5,57.1,0.2,0.9,1.1,2.1,1.4,0.2,0.1,1.8,7.1,0,0,1.7
