,,0
YEAR,FTM,0.236849514
FTM,YEAR,0.236849514
AGE,TD3,0.238745347
TD3,AGE,0.238745347
FT%,SALARY,0.23976626
SALARY,FT%,0.23976626
3P%,+/-,0.239869605
+/-,3P%,0.239869605
YEAR,TD3,0.24278351
TD3,YEAR,0.24278351
AGE,FT%,0.242922377
FT%,AGE,0.242922377
3P%,YEAR,0.243444062
YEAR,3P%,0.243444062
PF,FG%,0.24351545
FG%,PF,0.24351545
FT%,FGM,0.243745437
FGM,FT%,0.243745437
3PA,OREB,0.245194094
OREB,3PA,0.245194094
BLK,3P%,0.246239137
3P%,BLK,0.246239137
OREB,L,0.248771213
L,OREB,0.248771213
FGA,YEAR,0.251388554
YEAR,FGA,0.251388554
STL,FG%,0.252830095
FG%,STL,0.252830095
FG%,YEAR,0.255083877
YEAR,FG%,0.255083877
PF,SALARY,0.257809817
SALARY,PF,0.257809817
W,FGA,0.259746485
FGA,W,0.259746485
STL,YEAR,0.260138521
YEAR,STL,0.260138521
SALARY,OREB,0.260220268
OREB,SALARY,0.260220268
AST,GP,0.266752276
GP,AST,0.266752276
OREB,W,0.266901431
W,OREB,0.266901431
FG%,3P%,0.267715549
3P%,FG%,0.267715549
TOV,W,0.268583234
W,TOV,0.268583234
FGA,L,0.269665751
L,FGA,0.269665751
GP,DD2,0.269853561
DD2,GP,0.269853561
PF,W,0.273183488
W,PF,0.273183488
FT%,FP,0.275475912
FP,FT%,0.275475912
FT%,PTS,0.276716998
PTS,FT%,0.276716998
3PA,AGE,0.27679262
AGE,3PA,0.27679262
FT%,FGA,0.276836046
FGA,FT%,0.276836046
W,MIN,0.277881975
MIN,W,0.277881975
PF,L,0.279624843
L,PF,0.279624843
YEAR,MIN,0.280582916
MIN,YEAR,0.280582916
FGM,YEAR,0.281412638
YEAR,FGM,0.281412638
3PA,YEAR,0.28318461
YEAR,3PA,0.28318461
OREB,3PM,0.283495759
3PM,OREB,0.283495759
FG%,TD3,0.283506867
TD3,FG%,0.283506867
MIN,FT%,0.283730645
FT%,MIN,0.283730645
YEAR,PTS,0.284642874
PTS,YEAR,0.284642874
OREB,DD2,0.284856688
DD2,OREB,0.284856688
TOV,YEAR,0.285875746
YEAR,TOV,0.285875746
REB,YEAR,0.28647618
YEAR,REB,0.28647618
FT%,STL,0.287013478
STL,FT%,0.287013478
YEAR,FP,0.289005242
FP,YEAR,0.289005242
3P%,SALARY,0.293514515
SALARY,3P%,0.293514515
DREB,YEAR,0.294606869
YEAR,DREB,0.294606869
FT%,FTM,0.294751206
FTM,FT%,0.294751206
3P%,AST,0.296418365
AST,3P%,0.296418365
OREB,BLK,0.298524768
BLK,OREB,0.298524768
FTM,W,0.298742024
W,FTM,0.298742024
AST,W,0.303138862
W,AST,0.303138862
TD3,MIN,0.304819469
MIN,TD3,0.304819469
3PA,BLK,0.305408078
BLK,3PA,0.305408078
YEAR,AST,0.309600391
AST,YEAR,0.309600391
GP,FG%,0.310187613
FG%,GP,0.310187613
W,FTA,0.310531923
FTA,W,0.310531923
FT%,REB,0.311554574
REB,FT%,0.311554574
W,PTS,0.316950716
PTS,W,0.316950716
FG%,SALARY,0.316998047
SALARY,FG%,0.316998047
STL,TD3,0.320146277
TD3,STL,0.320146277
GP,TOV,0.320718059
TOV,GP,0.320718059
DREB,FT%,0.327962247
FT%,DREB,0.327962247
FTM,GP,0.329231591
GP,FTM,0.329231591
