YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2016,Nick Young,LAL,32,60,19,41,25.9,13.2,4.5,10.6,43,2.8,7,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1,0.6,0.6,0.2,2.3,19.3,0,0,-3.5
2016,Tarik Black,LAL,25,67,24,43,16.3,5.7,2.2,4.4,51,0,0,50,1.2,1.6,75.2,2.1,3,5.1,0.6,0.9,0.4,0.7,2.6,15.1,2,0,-0.7
2016,Thomas Robinson,LAL,26,48,15,33,11.7,5,2.2,4.1,53.6,0,0,0,0.6,1.4,47,1.8,2.9,4.6,0.6,1,0.5,0.2,1.6,12.8,1,0,-1.7
2016,Timofey Mozgov,LAL,30,54,16,38,20.4,7.4,3.1,6.1,51.5,0,0,0,1.2,1.4,80.8,1.9,3,4.9,0.8,1.3,0.3,0.6,2.5,15.8,1,0,-3.6
2016,Tyler Ennis,LAL,22,22,6,16,17.8,7.7,3,6.5,45.1,1,2.5,38.9,0.9,1,86.4,0.2,1,1.2,2.4,1,0.9,0.1,1.3,14.6,0,0,2.4
2017,Julius Randle,LAL,23,82,35,47,26.7,16.1,6.1,11,55.8,0.1,0.5,22.2,3.7,5.2,71.8,2.2,5.8,8,2.6,2.6,0.5,0.5,3.3,30.2,28,1,-1
2017,Kyle Kuzma,LAL,22,77,34,43,31.2,16.1,6.1,13.5,45,2.1,5.6,36.6,1.9,2.7,70.7,1.1,5.1,6.3,1.8,1.8,0.6,0.4,2.1,27.8,17,0,-1.6
2017,Brandon Ingram,LAL,20,59,27,32,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2
2017,Isaiah Thomas,LAL,29,17,8,9,26.8,15.6,5.1,13.4,38.3,1.9,5.9,32.7,3.4,3.7,92.1,0.6,1.5,2.1,5,3.2,0.4,0.1,1.9,23.7,0,0,0.9
2017,Jordan Clarkson,CLE,26,53,22,31,23.7,14.5,5.6,12.6,44.8,1.3,4,32.4,2,2.5,79.5,0.8,2.2,3,3.3,1.8,0.7,0.1,1.2,23.6,1,0,-0.4
2017,Kentavious Caldwell-Pope,LAL,25,74,31,43,33.2,13.4,4.6,10.8,42.6,2.1,5.6,38.3,2.1,2.6,78.9,0.8,4.4,5.2,2.2,1.3,1.4,0.2,2,26.6,4,0,-0.7
2017,Brook Lopez,LAL,30,74,34,40,23.4,13,5,10.7,46.5,1.5,4.4,34.5,1.5,2.1,70.3,1,3,4,1.7,1.3,0.4,1.3,2.6,24.2,4,0,-1.1
2017,Andre Ingram,LAL,32,2,1,1,32.1,12,4,8.5,47.1,2.5,4.5,55.6,1.5,1.5,100,0.5,2.5,3,3.5,1.5,1.5,1.5,1.5,28.4,0,0,10
2017,Lonzo Ball,LAL,20,52,24,28,34.2,10.2,3.9,10.8,36,1.7,5.7,30.5,0.6,1.4,45.1,1.3,5.6,6.9,7.2,2.6,1.7,0.8,2.3,34.3,13,2,-0.4
2017,Larry Nance Jr.,CLE,25,42,17,25,21.9,8.6,3.6,6,60.1,0,0.1,25,1.3,2.1,63.2,2.6,4.2,6.8,1.4,1,1.4,0.5,2.7,23.4,6,0,-1
2017,Josh Hart,LAL,23,63,27,36,23.2,7.9,2.8,6,46.9,1.2,3.1,39.6,1,1.5,70.2,0.7,3.5,4.2,1.3,0.7,0.7,0.3,1.7,17,8,0,-1.1
2017,Channing Frye,LAL,35,9,1,8,16.7,5.8,2.2,4.8,46.5,1,2.8,36,0.3,0.4,75,0.2,2.6,2.8,1.1,0.4,0.1,0.1,1.7,11,0,0,3.4
2017,Travis Wear,LAL,27,17,7,10,13.4,4.4,1.5,4.2,34.7,1,2.8,36.2,0.5,0.5,100,0,2.2,2.2,0.4,0.4,0.2,0.3,1.8,8.9,0,0,0.6
2017,Tyler Ennis,LAL,23,54,22,32,12.7,4.1,1.7,4.1,42,0.3,1,25,0.4,0.5,75.9,0.4,1.4,1.8,1.9,0.7,0.6,0.2,1.4,10.7,1,0,-0.4
2017,Ivica Zubac,LAL,21,43,19,24,9.5,3.7,1.4,2.8,50,0,0,0,0.9,1.2,76.5,1,1.8,2.9,0.6,0.6,0.2,0.3,1.1,9,1,0,1
2017,Corey Brewer,OKC,32,54,21,33,12.9,3.7,1.4,3.2,45.3,0.1,0.8,18.6,0.6,0.9,66.7,0.4,1.3,1.7,0.8,0.7,0.8,0.1,1.5,8.9,0,0,-1.6
2017,Alex Caruso,LAL,24,37,16,21,15.2,3.6,1.4,3.1,43.1,0.4,1.2,30.2,0.6,0.8,70,0.4,1.4,1.8,2,1.1,0.6,0.3,1.4,10.3,0,0,-0.1
2017,Gary Payton II,LAL,25,11,4,7,10.5,3.5,1.5,3.7,41.5,0.4,1.2,30.8,0.1,0.5,16.7,0.8,1.6,2.5,1.1,0.4,0.4,0.2,1.2,9.4,1,0,0
2017,Luol Deng,LAL,33,1,0,1,13.1,2,1,2,50,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5.5,0,0,-7
2017,Andrew Bogut,LAL,33,24,7,17,9,1.5,0.7,1,68,0,0,0,0.1,0.1,100,1.1,2.2,3.3,0.6,0.8,0.2,0.5,1.7,7.7,0,0,-1.2
2017,Nigel Hayes,SAC,23,2,1,1,5.4,1.5,0.5,1.5,33.3,0,1,0,0.5,0.5,100,0,0,0,1,0,0,0,0,3,0,0,4
2017,Thomas Bryant,LAL,20,15,7,8,4.8,1.5,0.5,1.4,38.1,0.1,0.7,10,0.3,0.6,55.6,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,3.9,0,0,-0.6
2017,Derrick Williams,LAL,27,2,1,1,4.3,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1.6,0,0,-2.5
2017,Vander Blue,LAL,25,5,1,4,9,0.6,0.2,1,20,0,0.4,0,0.2,0.4,50,0,0.2,0.2,0.6,0.6,0.2,0,0.4,1.7,0,0,3
2018,LeBron James,LAL,34,55,28,27,35.2,27.4,10.1,19.9,51,2,5.9,33.9,5.1,7.6,66.5,1,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52,32,8,2.1
2018,Kyle Kuzma,LAL,23,70,33,37,33.1,18.7,7.1,15.5,45.6,1.8,6,30.3,2.7,3.6,75.2,0.9,4.6,5.5,2.5,1.9,0.6,0.4,2.4,30,4,0,-0.8
2018,Brandon Ingram,LAL,21,52,25,27,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0,-1.1
2018,JaVale McGee,LAL,31,75,35,40,22.3,12,5.3,8.5,62.4,0,0.2,8.3,1.3,2,63.2,2.6,4.9,7.5,0.7,1.4,0.6,2,2.8,28.4,14,0,-2.1
2018,Kentavious Caldwell-Pope,LAL,26,82,37,45,24.8,11.4,4,9.2,43,1.8,5.3,34.7,1.7,1.9,86.7,0.6,2.3,2.9,1.3,0.8,0.9,0.2,1.7,19.3,0,0,-1.9
2018,Lonzo Ball,LAL,21,47,25,22,30.3,9.9,3.9,9.7,40.6,1.6,4.9,32.9,0.4,1,41.7,1.1,4.2,5.3,5.4,2.2,1.5,0.4,2.4,27.9,4,1,-0.3
2018,Reggie Bullock,LAL,28,19,4,15,27.6,9.3,3.3,8.1,41.2,1.8,5.2,34.3,0.9,1.1,81,0.1,2.5,2.6,1.1,0.6,0.8,0.4,1.6,17.1,0,0,-3.1
2018,Rajon Rondo,LAL,33,46,19,27,29.8,9.2,3.8,9.4,40.5,1.1,3.1,35.9,0.5,0.8,63.9,0.7,4.5,5.3,8,2.8,1.2,0.2,2.2,28.9,14,1,-5.3
2018,Alex Caruso,LAL,25,25,8,17,21.2,9.2,3.1,6.9,44.5,1,2,48,2,2.6,79.7,0.8,1.9,2.7,3.1,1.7,1,0.4,2.2,19.3,3,0,1.8
2018,Ivica Zubac,LAC,22,33,14,19,15.6,8.5,3.4,5.8,58,0,0,0,1.7,2,86.4,1.6,3.3,4.9,0.8,1,0.1,0.8,2.2,17.4,4,0,0.7
2018,Josh Hart,LAL,24,67,31,36,25.6,7.8,2.8,6.9,40.7,1.4,4.1,33.6,0.8,1.2,68.8,0.5,3.2,3.7,1.4,0.9,1,0.6,2.2,18.2,4,0,0
2018,Lance Stephenson,LAL,28,68,33,35,16.5,7.2,2.7,6.4,42.6,1.1,2.9,37.1,0.7,1.1,68.5,0.5,2.7,3.2,2.1,1.3,0.6,0.1,1.6,15,1,0,-1.6
2018,Michael Beasley,LAL,30,26,11,15,10.7,7,2.9,5.9,49,0.1,0.7,17.6,1.1,1.5,71.8,0.5,1.8,2.3,1,1,0.3,0.4,1.6,12.3,0,0,-1.5
2018,Johnathan Williams,LAL,24,24,10,14,15.5,6.5,2.7,4.6,59.1,0,0.1,0,1.1,2,56.3,2,2.1,4.1,0.5,0.7,0.3,0.3,2.6,13.5,3,0,2.3
2018,Mike Muscala,LAL,27,17,5,12,15.6,5.9,2.1,4.9,43.4,1.2,3.4,36.8,0.4,0.5,87.5,0.4,2.2,2.6,0.8,0.3,0.2,0.6,1.1,12.6,0,0,-1.7
2018,Moritz Wagner,LAL,22,43,15,28,10.4,4.8,1.7,4,41.5,0.5,1.8,28.6,1,1.2,81.1,0.4,1.6,2,0.6,0.9,0.3,0.3,1.3,8.8,0,0,-2.3
2018,Jemerrio Jones,LAL,24,6,3,3,23.9,4.5,2,5.5,36.4,0.3,1.7,20,0.2,0.3,50,2.7,5.5,8.2,2.2,0.8,1.2,0.8,1.7,22.7,1,0,4.7
2018,Svi Mykhailiuk,DET,22,39,17,22,10.8,3.3,1.1,3.4,33.3,0.7,2.2,31.8,0.3,0.5,60,0.2,0.7,0.9,0.8,0.5,0.3,0,0.6,6.1,0,0,0.1
2018,Tyson Chandler,LAL,36,48,25,23,16.4,3.1,1.1,1.8,60.9,0,0,0,0.9,1.4,59.4,1.8,3.8,5.6,0.6,0.7,0.4,0.5,1.9,12.6,2,0,0.6
2018,Scott Machado,LAL,29,4,3,1,4.8,2.5,1,1.5,66.7,0.3,0.3,100,0.3,0.3,100,0,0,0,0.8,0,0.3,0,0.5,4.4,0,0,0
2018,Isaac Bonga,LAL,19,22,7,15,5.5,0.9,0.2,1.5,15.2,0,0.4,0,0.4,0.7,60,0.4,0.7,1.1,0.7,0.3,0.4,0.2,0.4,4.8,0,0,0.6
2018,Andre Ingram,LAL,33,4,1,3,3.7,0,0,1.5,0,0,0.8,0,0,0,0,0.3,0.3,0.5,0,0.3,0.3,0,0,1.1,0,0,1.3
2019,Anthony Davis,LAL,26,35,29,6,35.2,27.1,9.4,18.7,50.4,1.1,3.7,29.7,7.1,8.3,85.9,2.2,7.2,9.4,3.2,2.4,1.5,2.6,2.5,53.2,17,0,5.9
2019,LeBron James,LAL,35,38,32,6,34.9,25.5,9.8,19.8,49.4,2.1,6.1,35.1,3.9,5.6,69.7,1.1,6.8,7.8,10.7,3.7,1.3,0.5,1.8,52.7,29,9,9.6
2019,Kyle Kuzma,LAL,24,31,27,4,24.3,13.2,4.9,11.2,43.6,1.7,4.9,34.6,1.7,2.3,74.6,0.7,3.1,3.8,0.9,1.5,0.3,0.4,1.8,19.6,0,0,4
2019,Kentavious Caldwell-Pope,LAL,26,40,33,7,25.3,9.3,3.3,7.2,46.3,1.4,3.3,43.1,1.3,1.6,80.6,0.6,1.5,2.1,1.8,0.9,0.8,0.2,1.8,16.6,0,0,3.5
2019,Danny Green,LAL,32,39,32,7,25.3,8.7,3.1,7.2,43.4,1.9,5,38.7,0.6,0.8,71.9,0.7,2.9,3.7,1.4,0.8,1.2,0.4,2.2,19.2,0,0,6.1
2019,Avery Bradley,LAL,29,26,20,6,23.8,8.1,3.5,7.6,45.5,0.8,2.7,30,0.3,0.5,75,0.5,1.9,2.4,1.1,1.1,0.9,0.1,2.4,14.4,0,0,4.2
2019,Dwight Howard,LAL,34,40,33,7,19.7,7.7,3.1,4.2,74.3,0.1,0.1,60,1.4,2.7,50.9,2.4,4.9,7.3,0.7,1.2,0.4,1.5,3.3,21.8,4,0,3.1
2019,Rajon Rondo,LAL,33,27,22,5,21.6,7.6,3,7.3,40.6,0.9,2.6,35.2,0.7,0.9,80,0.5,3.3,3.8,5.4,2.1,0.9,0.1,1.2,21.2,2,0,2.3
2019,JaVale McGee,LAL,31,40,33,7,16.8,6.9,3,4.8,62.7,0.1,0.1,66.7,0.8,1.2,61.2,1.9,3.9,5.8,0.7,0.8,0.6,1.7,2.5,20.9,2,0,3.6
2019,Alex Caruso,LAL,25,37,31,6,19.6,5.9,2.1,4.6,44.4,0.7,1.9,36.6,1.1,1.4,78,0.3,1.7,2,1.8,0.9,1,0.2,1.6,13.8,0,0,5.5
2019,Quinn Cook,LAL,26,26,22,4,12.8,5,2.1,4.8,43.7,0.6,1.8,34,0.2,0.2,83.3,0.2,1,1.2,1.4,0.8,0.3,0,0.7,8.7,0,0,2.7
2019,Troy Daniels,LAL,28,30,24,6,11.7,4.3,1.6,3.9,39.8,1,2.8,35.7,0.2,0.3,66.7,0.2,1,1.2,0.3,0.2,0.2,0.1,0.7,6.9,0,0,-0.1
2019,Jared Dudley,LAL,34,27,21,6,8.5,1.6,0.6,1.4,40.5,0.4,1,46.2,0.1,0.1,100,0.1,0.9,1,0.6,0.1,0.3,0.1,1.1,4.8,0,0,-0.3
2019,Kostas Antetokounmpo,LAL,22,3,3,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0.9,0,0,-0.7
2019,Talen Horton-Tucker,LAL,19,2,1,1,2.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0,3,0,0,-3.5
2019,Zach Norvell Jr.,LAL,22,2,2,0,2.4,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-2
