DREB,+/-,0.016960907
FTA,YEAR,0.017365178
YEAR,FTA,0.017365178
TOV,YEAR,0.019550005
YEAR,TOV,0.019550005
REB,YEAR,0.01974591
YEAR,REB,0.01974591
FG%,SALARY,0.02038089
SALARY,FG%,0.02038089
DREB,AGE,0.023163404
AGE,DREB,0.023163404
BLK,DD2,0.025149467
DD2,BLK,0.025149467
FP,FT%,0.02665565
FT%,FP,0.02665565
OREB,W,0.02801065
W,OREB,0.02801065
REB,FG%,0.031953323
FG%,REB,0.031953323
SALARY,DREB,0.034993658
DREB,SALARY,0.034993658
W,MIN,0.0351365
MIN,W,0.0351365
BLK,YEAR,0.035988926
YEAR,BLK,0.035988926
STL,FTM,0.037264945
FTM,STL,0.037264945
FGA,FT%,0.038517976
FT%,FGA,0.038517976
3PM,BLK,0.039746295
BLK,3PM,0.039746295
BLK,FG%,0.043343568
FG%,BLK,0.043343568
L,BLK,0.051205441
BLK,L,0.051205441
AGE,FTM,0.05268627
FTM,AGE,0.05268627
FT%,AST,0.052958232
AST,FT%,0.052958232
W,STL,0.054073817
STL,W,0.054073817
L,AGE,0.057729937
AGE,L,0.057729937
W,3PA,0.057816374
3PA,W,0.057816374
FTA,SALARY,0.060054198
SALARY,FTA,0.060054198
FT%,AGE,0.06383304
AGE,FT%,0.06383304
RK,OREB,0.07252004
OREB,RK,0.07252004
W,DD2,0.073180343
DD2,W,0.073180343
GP,+/-,0.073431291
+/-,GP,0.073431291
FTA,STL,0.073959187
STL,FTA,0.073959187
OREB,3P%,0.074128553
3P%,OREB,0.074128553
FTM,SALARY,0.077008347
SALARY,FTM,0.077008347
REB,W,0.07732736
W,REB,0.07732736
+/-,3PM,0.080597546
3PM,+/-,0.080597546
FG%,FT%,0.080619476
FT%,FG%,0.080619476
BLK,3PA,0.088362128
3PA,BLK,0.088362128
W,FGA,0.089324026
FGA,W,0.089324026
RK,YEAR,0.090982745
YEAR,RK,0.090982745
FGM,FT%,0.092101863
FT%,FGM,0.092101863
3PM,AGE,0.096690948
AGE,3PM,0.096690948
W,FTA,0.096740628
FTA,W,0.096740628
3PA,FT%,0.103512212
FT%,3PA,0.103512212
W,DREB,0.104382425
DREB,W,0.104382425
STL,3P%,0.113771344
3P%,STL,0.113771344
RK,FT%,0.114090003
FT%,RK,0.114090003
TOV,3PM,0.114124355
3PM,TOV,0.114124355
SALARY,3PM,0.11718206
3PM,SALARY,0.11718206
SALARY,3PA,0.117425514
3PA,SALARY,0.117425514
PF,FG%,0.11778299
FG%,PF,0.11778299
MIN,AGE,0.12140799
AGE,MIN,0.12140799
FG%,DD2,0.122389159
DD2,FG%,0.122389159
3PA,+/-,0.124480016
+/-,3PA,0.124480016
TOV,W,0.125838309
W,TOV,0.125838309
3PA,FTA,0.129700799
FTA,3PA,0.129700799
FG%,FP,0.139562211
