,,0
STL,FG%,-0.19226028839140308
FG%,STL,-0.19226028839140308
GP,PTS,-0.18880311567206182
PTS,GP,-0.18880311567206182
FG%,AGE,-0.1870941549884755
AGE,FG%,-0.1870941549884755
SALARY,FG%,-0.17955261300732064
FG%,SALARY,-0.17955261300732064
FG%,PTS,-0.1749219631994155
PTS,FG%,-0.1749219631994155
YEAR,FG%,-0.17430613562626102
FG%,YEAR,-0.17430613562626102
MIN,AGE,-0.17229387016487482
AGE,MIN,-0.17229387016487482
FG%,TOV,-0.17092142563364351
TOV,FG%,-0.17092142563364351
FT%,W,-0.16987545198656065
W,FT%,-0.16987545198656065
AST,DREB,-0.1637536575970346
DREB,AST,-0.1637536575970346
AGE,OREB,-0.15807738452854533
OREB,AGE,-0.15807738452854533
FTA,RK,-0.15776526859890666
RK,FTA,-0.15776526859890666
FG%,AST,-0.1564348694577195
AST,FG%,-0.1564348694577195
W,SALARY,-0.15176346965833815
SALARY,W,-0.15176346965833815
FG%,FTM,-0.1510144676576114
FTM,FG%,-0.1510144676576114
BLK,STL,-0.14867683698604703
STL,BLK,-0.14867683698604703
STL,DREB,-0.14686660595203677
DREB,STL,-0.14686660595203677
GP,STL,-0.1446032783872998
STL,GP,-0.1446032783872998
RK,3P%,-0.1406931357229788
3P%,RK,-0.1406931357229788
TOV,BLK,-0.13580522755881574
BLK,TOV,-0.13580522755881574
PTS,REB,-0.13574543034476522
REB,PTS,-0.13574543034476522
FT%,PF,-0.13521005672615524
PF,FT%,-0.13521005672615524
YEAR,OREB,-0.12678144038404635
OREB,YEAR,-0.12678144038404635
AGE,REB,-0.12629350961806796
REB,AGE,-0.12629350961806796
W,FGA,-0.1248074910701211
FGA,W,-0.1248074910701211
MIN,3PA,-0.1220215612679619
3PA,MIN,-0.1220215612679619
DD2,RK,-0.12062546002350973
RK,DD2,-0.12062546002350973
SALARY,BLK,-0.11957240776367577
BLK,SALARY,-0.11957240776367577
REB,SALARY,-0.11392399312049811
SALARY,REB,-0.11392399312049811
DD2,PTS,-0.1138429976728289
PTS,DD2,-0.1138429976728289
L,TD3,-0.11354737860016165
TD3,L,-0.11354737860016165
YEAR,+/-,-0.11353554127092602
+/-,YEAR,-0.11353554127092602
FGM,GP,-0.11294890013426621
GP,FGM,-0.11294890013426621
AGE,PF,-0.10437124627953435
PF,AGE,-0.10437124627953435
AGE,DREB,-0.10265405040010929
DREB,AGE,-0.10265405040010929
PF,3PA,-0.09170547320032414
3PA,PF,-0.09170547320032414
FGA,BLK,-0.09108953710180061
BLK,FGA,-0.09108953710180061
MIN,GP,-0.08857501349021117
GP,MIN,-0.08857501349021117
RK,GP,-0.08455297842903514
GP,RK,-0.08455297842903514
DD2,FTM,-0.08413309960324912
FTM,DD2,-0.08413309960324912
3PM,FTA,-0.08055998490950267
FTA,3PM,-0.08055998490950267
FTM,AGE,-0.08051651328122987
AGE,FTM,-0.08051651328122987
3PM,W,-0.0790736928034105
W,3PM,-0.0790736928034105
3PA,+/-,-0.07726972523571411
+/-,3PA,-0.07726972523571411
W,TOV,-0.075802357493316
TOV,W,-0.075802357493316
FTA,3PA,-0.07568882743763353
3PA,FTA,-0.07568882743763353
PF,3PM,-0.07475817762476751
3PM,PF,-0.07475817762476751
REB,TOV,-0.07243797373723822
TOV,REB,-0.07243797373723822
AST,GP,-0.0672049930870969
GP,AST,-0.0672049930870969
YEAR,REB,-0.06568927515197649
REB,YEAR,-0.06568927515197649
FGA,PF,-0.059030562886925875
PF,FGA,-0.059030562886925875
TD3,OREB,-0.05648312057947666
OREB,TD3,-0.05648312057947666
W,3P%,-0.05610977050338085
3P%,W,-0.05610977050338085
AGE,FTA,-0.05582207202932697
FTA,AGE,-0.05582207202932697
GP,FTA,-0.048615139423814915
FTA,GP,-0.048615139423814915
BLK,L,-0.046923068484090766
L,BLK,-0.046923068484090766
TD3,BLK,-0.04348122440432787
BLK,TD3,-0.04348122440432787
DREB,SALARY,-0.04336803322606849
SALARY,DREB,-0.04336803322606849
FT%,MIN,-0.04293394723969019
MIN,FT%,-0.04293394723969019
FGM,FG%,-0.03931994377352471
FG%,FGM,-0.03931994377352471
OREB,+/-,-0.0345130248167186
+/-,OREB,-0.0345130248167186
YEAR,DREB,-0.02737740051943075
DREB,YEAR,-0.02737740051943075
MIN,3PM,-0.025977186059395776
3PM,MIN,-0.025977186059395776
TD3,3PM,-0.023759903786066284
3PM,TD3,-0.023759903786066284
GP,TD3,-0.014422852383269172
TD3,GP,-0.014422852383269172
PF,L,-0.013408284617643715
L,PF,-0.013408284617643715
DREB,PTS,-0.00965599538728444
PTS,DREB,-0.00965599538728444
RK,MIN,-0.00945052353653777
MIN,RK,-0.00945052353653777
REB,FGM,-0.005265593082176716
FGM,REB,-0.005265593082176716
YEAR,STL,-0.0035388962258409012
STL,YEAR,-0.0035388962258409012
DREB,L,-0.0017455294468766464
L,DREB,-0.0017455294468766464
AST,YEAR,-0.00047555121418826906
YEAR,AST,-0.00047555121418826906
REB,FTM,0.003280948024528559
FTM,REB,0.003280948024528559
+/-,AGE,0.0033669615937159166
AGE,+/-,0.0033669615937159166
TOV,DREB,0.0073192960059454545
DREB,TOV,0.0073192960059454545
FTM,PF,0.007748553650816294
PF,FTM,0.007748553650816294
3PA,TD3,0.012425573054542777
TD3,3PA,0.012425573054542777
PF,SALARY,0.016881674509852958
SALARY,PF,0.016881674509852958
AGE,FT%,0.025590757609680256
FT%,AGE,0.025590757609680256
BLK,MIN,0.027172306499358225
MIN,BLK,0.027172306499358225
PTS,PF,0.029768732003238197
PF,PTS,0.029768732003238197
DD2,TOV,0.03029141953729353
TOV,DD2,0.03029141953729353
FP,OREB,0.032581984390470144
OREB,FP,0.032581984390470144
GP,FP,0.03451945566648256
FP,GP,0.03451945566648256
DREB,RK,0.03643360947950307
RK,DREB,0.03643360947950307
FTA,FT%,0.03789406483253407
FT%,FTA,0.03789406483253407
MIN,OREB,0.04730935159411159
OREB,MIN,0.04730935159411159
3P%,AGE,0.048574734823708735
AGE,3P%,0.048574734823708735
BLK,YEAR,0.050337227036465905
YEAR,BLK,0.050337227036465905
3P%,FTA,0.05115488725420608
FTA,3P%,0.05115488725420608
FTA,PF,0.05560058382812997
PF,FTA,0.05560058382812997
DD2,FGM,0.05741403475196987
FGM,DD2,0.05741403475196987
FGM,PF,0.06234801792274949
PF,FGM,0.06234801792274949
FP,FT%,0.0630653192386381
FT%,FP,0.0630653192386381
TD3,W,0.06644330612697463
W,TD3,0.06644330612697463
AGE,PTS,0.06960336106739376
PTS,AGE,0.06960336106739376
BLK,PTS,0.07861689478395634
PTS,BLK,0.07861689478395634
3P%,TD3,0.08523366450432511
TD3,3P%,0.08523366450432511
L,REB,0.0882124271949133
REB,L,0.0882124271949133
PF,AST,0.09247501062121359
AST,PF,0.09247501062121359
FT%,+/-,0.09643336515766347
+/-,FT%,0.09643336515766347
AGE,FGM,0.09747034862501446
FGM,AGE,0.09747034862501446
TD3,FG%,0.09753584828532125
FG%,TD3,0.09753584828532125
AGE,3PM,0.09858710461570322
3PM,AGE,0.09858710461570322
FTM,W,0.09932976368678939
W,FTM,0.09932976368678939
FG%,RK,0.10017681540332578
RK,FG%,0.10017681540332578
FTM,DREB,0.10179764631028226
DREB,FTM,0.10179764631028226
SALARY,+/-,0.10482878554392283
+/-,SALARY,0.10482878554392283
FTA,OREB,0.10528142077978654
OREB,FTA,0.10528142077978654
RK,REB,0.10587175067531111
REB,RK,0.10587175067531111
L,RK,0.10636249673413779
RK,L,0.10636249673413779
TD3,STL,0.11225617577653603
STL,TD3,0.11225617577653603
FP,3P%,0.11323858742273701
3P%,FP,0.11323858742273701
FGM,DREB,0.11665356548184234
DREB,FGM,0.11665356548184234
3PM,+/-,0.12042569899809916
+/-,3PM,0.12042569899809916
3PA,FP,0.13208719260482676
FP,3PA,0.13208719260482676
TD3,FTM,0.13240933960307774
FTM,TD3,0.13240933960307774
3P%,MIN,0.1324900529580687
MIN,3P%,0.1324900529580687
FP,AGE,0.13302209017980496
AGE,FP,0.13302209017980496
W,AGE,0.1340721689338349
AGE,W,0.1340721689338349
DD2,STL,0.13493983522996822
STL,DD2,0.13493983522996822
3PM,FP,0.14958415089736332
FP,3PM,0.14958415089736332
W,PTS,0.15058470334022123
PTS,W,0.15058470334022123
FG%,L,0.15567899603396376
L,FG%,0.15567899603396376
PF,+/-,0.15780736648701935
+/-,PF,0.15780736648701935
STL,W,0.15831318183882476
W,STL,0.15831318183882476
YEAR,FP,0.1594986976283361
FP,YEAR,0.1594986976283361
TD3,REB,0.16031062479934166
REB,TD3,0.16031062479934166
FT%,YEAR,0.16216143015790388
YEAR,FT%,0.16216143015790388
MIN,SALARY,0.16446835363491588
SALARY,MIN,0.16446835363491588
FGM,BLK,0.16555947361105255
BLK,FGM,0.16555947361105255
L,W,0.17064362314103398
W,L,0.17064362314103398
DD2,AGE,0.17488989689544657
AGE,DD2,0.17488989689544657
+/-,TOV,0.1753607741009827
TOV,+/-,0.1753607741009827
AGE,3PA,0.17798712657949936
3PA,AGE,0.17798712657949936
W,MIN,0.17849424636663758
MIN,W,0.17849424636663758
YEAR,FTA,0.17930508734638614
FTA,YEAR,0.17930508734638614
FG%,FTA,0.1808908683294393
FTA,FG%,0.1808908683294393
FTM,3PM,0.1817327185173029
3PM,FTM,0.1817327185173029
W,AST,0.1821869692591886
AST,W,0.1821869692591886
AGE,FGA,0.18385057192698154
FGA,AGE,0.18385057192698154
TD3,YEAR,0.18743893473930756
YEAR,TD3,0.18743893473930756
RK,BLK,0.18861260317883236
BLK,RK,0.18861260317883236
YEAR,3P%,0.19062031009570476
3P%,YEAR,0.19062031009570476
MIN,STL,0.19128113780824482
STL,MIN,0.19128113780824482
FTA,W,0.1916850085712923
W,FTA,0.1916850085712923
REB,+/-,0.1967512139655564
+/-,REB,0.1967512139655564
YEAR,MIN,0.19902617897971223
MIN,YEAR,0.19902617897971223
BLK,+/-,0.20401034132718604
+/-,BLK,0.20401034132718604
GP,BLK,0.206078445404795
BLK,GP,0.206078445404795
MIN,TOV,0.2064336125456276
TOV,MIN,0.2064336125456276
3PA,FTM,0.2065255896662037
FTM,3PA,0.2065255896662037
FGM,W,0.20668650378465428
W,FGM,0.20668650378465428
L,DD2,0.20821608248617274
DD2,L,0.20821608248617274
FT%,FGM,0.20881376905671586
FGM,FT%,0.20881376905671586
BLK,FTM,0.20881466519308234
FTM,BLK,0.20881466519308234
TOV,3P%,0.21037011735204336
3P%,TOV,0.21037011735204336
MIN,FG%,0.21137909101180075
FG%,MIN,0.21137909101180075
+/-,FGA,0.21150887825068784
FGA,+/-,0.21150887825068784
+/-,TD3,0.22201943055937823
TD3,+/-,0.22201943055937823
AGE,STL,0.22729686809808797
STL,AGE,0.22729686809808797
W,OREB,0.2286693089777248
OREB,W,0.2286693089777248
AST,FT%,0.23199020567605363
FT%,AST,0.23199020567605363
SALARY,3P%,0.2321229489872923
3P%,SALARY,0.2321229489872923
TOV,PF,0.23377282997121585
PF,TOV,0.23377282997121585
STL,PF,0.2359435580496294
PF,STL,0.2359435580496294
DD2,FTA,0.2361067158553199
FTA,DD2,0.2361067158553199
FTM,YEAR,0.24190186777179984
YEAR,FTM,0.24190186777179984
RK,OREB,0.2423100743182094
OREB,RK,0.2423100743182094
DREB,PF,0.2506396140406314
PF,DREB,0.2506396140406314
DREB,TD3,0.25366068885462
TD3,DREB,0.25366068885462
YEAR,RK,0.2542688333620896
RK,YEAR,0.2542688333620896
OREB,L,0.25551788541601084
L,OREB,0.25551788541601084
TOV,FT%,0.2573406930166021
FT%,TOV,0.2573406930166021
TOV,AGE,0.2586306546300828
AGE,TOV,0.2586306546300828
FG%,FP,0.259669591042105
FP,FG%,0.259669591042105
GP,PF,0.27016782937254913
PF,GP,0.27016782937254913
AST,FTA,0.27064598021995234
FTA,AST,0.27064598021995234
AST,DD2,0.27157283260981624
DD2,AST,0.27157283260981624
PF,FP,0.274237444492947
FP,PF,0.274237444492947
SALARY,FT%,0.27494526470185615
FT%,SALARY,0.27494526470185615
FTA,SALARY,0.2793952664879544
SALARY,FTA,0.2793952664879544
GP,DREB,0.2805540420690023
DREB,GP,0.2805540420690023
3P%,+/-,0.2814658413909997
+/-,3P%,0.2814658413909997
MIN,REB,0.2815838475473057
REB,MIN,0.2815838475473057
GP,AGE,0.2817412352313506
AGE,GP,0.2817412352313506
FP,REB,0.28834080131433665
REB,FP,0.28834080131433665
AGE,SALARY,0.2883875292702422
SALARY,AGE,0.2883875292702422
MIN,DD2,0.2898161191981539
DD2,MIN,0.2898161191981539
3PM,AST,0.2912261878293211
AST,3PM,0.2912261878293211
DREB,+/-,0.2961430824756844
+/-,DREB,0.2961430824756844
AST,MIN,0.2967021131033762
MIN,AST,0.2967021131033762
FTA,STL,0.30439363183521556
STL,FTA,0.30439363183521556
AST,FTM,0.3057826106132701
FTM,AST,0.3057826106132701
YEAR,3PM,0.3066334397884835
3PM,YEAR,0.3066334397884835
GP,REB,0.30712423577548775
REB,GP,0.30712423577548775
BLK,FP,0.30813672245376256
FP,BLK,0.30813672245376256
OREB,GP,0.31190489253815873
GP,OREB,0.31190489253815873
BLK,W,0.31441682040656177
W,BLK,0.31441682040656177
MIN,FGA,0.3177670175578036
FGA,MIN,0.3177670175578036
BLK,DD2,0.31790721276808953
DD2,BLK,0.31790721276808953
BLK,PF,0.31824951879938945
PF,BLK,0.31824951879938945
PF,REB,0.3258982575150309
REB,PF,0.3258982575150309
L,AGE,0.326549971256519
AGE,L,0.326549971256519
PF,DD2,0.32778736472641107
DD2,PF,0.32778736472641107
3PM,STL,0.3312753450697507
STL,3PM,0.3312753450697507
GP,+/-,0.33129139970353044
+/-,GP,0.33129139970353044
AST,3PA,0.3340869677881256
3PA,AST,0.3340869677881256
FGM,YEAR,0.33415905356021564
YEAR,FGM,0.33415905356021564
3PA,STL,0.3347408156651574
STL,3PA,0.3347408156651574
FTA,BLK,0.34671830243619645
BLK,FTA,0.34671830243619645
3PA,YEAR,0.34699512519290776
YEAR,3PA,0.34699512519290776
3P%,FTM,0.3487987373020831
FTM,3P%,0.3487987373020831
REB,W,0.348859867748962
W,REB,0.348859867748962
FTA,REB,0.34981304386906964
REB,FTA,0.34981304386906964
FTM,SALARY,0.35061797455944754
SALARY,FTM,0.35061797455944754
STL,3P%,0.35861206696622405
3P%,STL,0.35861206696622405
DD2,+/-,0.36226859944989265
+/-,DD2,0.36226859944989265
PTS,YEAR,0.3624130500257654
YEAR,PTS,0.3624130500257654
FG%,PF,0.3668539853415513
PF,FG%,0.3668539853415513
YEAR,FGA,0.3669153541258309
FGA,YEAR,0.3669153541258309
FTA,TD3,0.36850347907440645
TD3,FTA,0.36850347907440645
YEAR,TOV,0.3696574288754863
TOV,YEAR,0.3696574288754863
+/-,FG%,0.36974221453452716
FG%,+/-,0.36974221453452716
TD3,DD2,0.3725838322546039
DD2,TD3,0.3725838322546039
PF,W,0.3757785117595749
W,PF,0.3757785117595749
3P%,FGM,0.3763480480309012
FGM,3P%,0.3763480480309012
FTM,+/-,0.3770928557168989
+/-,FTM,0.3770928557168989
DREB,MIN,0.3774448444467081
MIN,DREB,0.3774448444467081
3P%,AST,0.37988941643525853
AST,3P%,0.37988941643525853
FTA,+/-,0.38058452485032057
+/-,FTA,0.38058452485032057
